"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GAS1",0.289162826165624,2.98832708544324,6.42346136427454,5.4763610969686e-08,4.10727082272645e-05,8.24485958804366
"BIRC5",0.320721478199834,2.95886865773698,5.77585215145495,5.38784341468519e-07,0.000136099383898891,6.09232947929862
"AQP9",-0.270269139009604,3.04111851993202,-5.69211897676612,7.22721179231632e-07,0.000136099383898891,5.81585060617691
"CENPF",0.398245598485462,2.80147423419688,5.69088087170138,7.25863380794087e-07,0.000136099383898891,5.81176708178424
"HELLS",0.165979060543394,2.94913067903329,5.51735693671377,1.33133353041947e-06,0.000192099781689093,5.24092695887153
"TREM1",-0.325887943319421,3.06417632098359,-5.4761686081468,1.53679825351274e-06,0.000192099781689093,5.10590029224931
"ANLN",0.218738999975428,2.94680847605788,5.08390171124104,5.96388210280236e-06,0.000638987368157396,3.83122121607941
"CDK6",0.131280650943488,3.27052155661015,4.99450803463877,8.09738483124058e-06,0.000759129827928804,3.54410795483463
"EZH2",0.151120601768117,3.0843341238354,4.93949952082372,9.76735016589243e-06,0.000813945847157702,3.36815712264284
"TCF3",0.105772781500231,3.24428418774554,4.85720093057635,1.29169855825076e-05,0.000968773918688072,3.10601130856508
"CCNB1",0.17813590286791,3.06715842786029,4.76621689901686,1.75669881639316e-05,0.00119774919299534,2.81782058455838
"BCL2L1",-0.0627013291113609,3.38179912662199,-4.71892095248167,2.05980051796182e-05,0.00128736242062286,2.66872149914808
"FANCA",0.172162838637919,2.82461522723964,4.69508739190274,2.23142819574629e-05,0.00128736242062286,2.59377832252644
"DNMT1",0.0773280191614516,3.34198816539507,4.66832269645327,2.44091170363507e-05,0.0013076312698045,2.50977487036833
"MELK",0.222909776118346,2.74639304147838,4.52718227306767,3.90748087656696e-05,0.00195374043828348,2.06965602029422
"MKI67",0.230406313060237,2.98051872853102,4.48669946828644,4.46821246951966e-05,0.00209447459508734,1.94434935997573
"SPP1",-0.126977140585367,3.95610657453062,-4.45285611692764,4.9967257190109e-05,0.00220443781721069,1.839927700948
"CDC25C",0.331964711022704,2.20508694023635,4.35495275414994,6.89328299203256e-05,0.00270195456753136,1.53962866824916
"SPRY4",0.135243915420291,3.20802041607927,4.34193965429889,7.19313418641553e-05,0.00270195456753136,1.49991841111722
"RRM2",0.19120285755967,3.11212925087415,4.33699271892759,7.31042731815607e-05,0.00270195456753136,1.48483545137574
"FBP1",-0.171965813955902,3.03454397749106,-4.32649773718032,7.56547278908781e-05,0.00270195456753136,1.45286046174714
"NOTCH1",0.105190999234901,3.24130871122483,4.26717857711549,9.17846048129656e-05,0.0031039211585376,1.2727476996393
"CCL20",-0.351829622689039,2.64123894296416,-4.25597327590433,9.51869155284863e-05,0.0031039211585376,1.2388438447018
"POLD1",0.0880115639801953,2.88120128336531,4.19288062323426,0.000116759796122973,0.00355173376412568,1.04867038264255
"PIK3R2",0.0740718970439227,3.2863826336943,4.18076477675492,0.000121415063339864,0.00355173376412568,1.01229436272306
"PDGFA",0.10429269266819,3.13604690700426,4.17642309723354,0.00012312677048969,0.00355173376412568,0.999270543315417
"SOX2",0.0835870935021288,3.58556170794751,4.0132903748039,0.000207492033270687,0.00557269088560931,0.514438339846137
